,State,County,FIPS,Year,Population
6519,CA,SUTTER,6101,2008,93855.0
6520,CA,TEHAMA,6103,2008,62648.0
6521,CA,TRINITY,6105,2008,13656.0
6522,CA,TULARE,6107,2008,429283.0
6523,CA,TUOLUMNE,6109,2008,56320.0
6524,CA,VENTURA,6111,2008,806353.0
6525,CA,YOLO,6113,2008,197154.0
6526,CA,YUBA,6115,2008,71773.0
6603,FL,ALACHUA,12001,2008,244888.0
6604,FL,BAKER,12003,2008,26725.0
6605,FL,BAY,12005,2008,166267.0
6606,FL,BRADFORD,12007,2008,28961.0
6607,FL,BREVARD,12009,2008,542378.0
6608,FL,BROWARD,12011,2008,1723633.0
6609,FL,CALHOUN,12013,2008,14351.0
6610,FL,CHARLOTTE,12015,2008,160467.0
6611,FL,CITRUS,12017,2008,142122.0
6612,FL,CLAY,12019,2008,187289.0
6613,FL,COLLIER,12021,2008,316641.0
6614,FL,COLUMBIA,12023,2008,67318.0
6615,FL,DE SOTO,12027,2008,34374.0
6616,FL,DIXIE,12029,2008,16214.0
6617,FL,DUVAL,12031,2008,855437.0
6618,FL,ESCAMBIA,12033,2008,296854.0
6619,FL,FLAGLER,12035,2008,93546.0
6620,FL,FRANKLIN,12037,2008,11484.0
6621,FL,GADSDEN,12039,2008,46319.0
6622,FL,GILCHRIST,12041,2008,16797.0
6623,FL,GLADES,12043,2008,12752.0
6624,FL,GULF,12045,2008,15851.0
6625,FL,HAMILTON,12047,2008,14785.0
6626,FL,HARDEE,12049,2008,27603.0
6627,FL,HENDRY,12051,2008,39177.0
6628,FL,HERNANDO,12053,2008,172437.0
6629,FL,HIGHLANDS,12055,2008,99568.0
6630,FL,HILLSBOROUGH,12057,2008,1196773.0
6631,FL,HOLMES,12059,2008,20141.0
6632,FL,INDIAN RIVER,12061,2008,136277.0
6633,FL,JACKSON,12063,2008,50272.0
6634,FL,JEFFERSON,12065,2008,14606.0
6635,FL,LAFAYETTE,12067,2008,8465.0
