,Year,FIPS,County,Morphine_equ,State,Deaths,Year_Changed,Population,Deaths_PC
69,2006.0,13145.0,HARRIS,655.4507625000002,GA,,,29289.0,
70,2006.0,13147.0,HART,8871.457820437627,GA,,,24764.0,
71,2006.0,13149.0,HEARD,1032.8392125000014,GA,,,11553.0,
72,2006.0,13151.0,HENRY,38097.249578951945,GA,17.0,,180304.0,9.428520720560831e-05
73,2006.0,13153.0,HOUSTON,32261.06236708939,GA,,,128978.0,
74,2006.0,13155.0,IRWIN,761.7755400000008,GA,,,9852.0,
75,2006.0,13157.0,JACKSON,12812.362985712827,GA,,,54037.0,
76,2006.0,13159.0,JASPER,1836.0334575000034,GA,,,13370.0,
77,2006.0,13161.0,JEFF DAVIS,3197.612132999988,GA,,,14028.0,
78,2006.0,13163.0,JEFFERSON,4767.473793000012,GA,,,16889.0,
79,2006.0,13165.0,JENKINS,2176.2683400000024,GA,,,8533.0,
80,2006.0,13167.0,JOHNSON,1587.3047175000013,GA,,,9638.0,
81,2006.0,13169.0,JONES,2561.929399087504,GA,,,27563.0,
82,2006.0,13171.0,LAMAR,2418.0944059999997,GA,,,17115.0,
83,2006.0,13173.0,LANIER,1711.7354050000015,GA,,,8509.0,
84,2006.0,13175.0,LAURENS,19345.90475250089,GA,,,47287.0,
85,2006.0,13177.0,LEE,1091.5354500000044,GA,,,27365.0,
86,2006.0,13179.0,LIBERTY,4391.264294999998,GA,,,63047.0,
87,2006.0,13181.0,LINCOLN,1521.4727549999993,GA,,,8198.0,
88,2006.0,13183.0,LONG,486.60228749999925,GA,,,12152.0,
89,2006.0,13185.0,LOWNDES,19503.797543363413,GA,,,100592.0,
90,2006.0,13187.0,LUMPKIN,3244.0825699999928,GA,,,27300.0,
91,2006.0,13189.0,MCDUFFIE,6269.448067500044,GA,,,21564.0,
92,2006.0,13191.0,MCINTOSH,4216.496617500015,GA,,,12950.0,
93,2006.0,13193.0,MACON,3507.0582791250013,GA,,,14364.0,
94,2006.0,13195.0,MADISON,8037.40326436255,GA,,,27347.0,
95,2006.0,13197.0,MARION,439.36514249999914,GA,,,8089.0,
96,2006.0,13199.0,MERIWETHER,3007.1279200000085,GA,,,22694.0,
97,2006.0,13201.0,MILLER,1104.3821625000028,GA,,,6104.0,
98,2006.0,13205.0,MITCHELL,3091.747274999999,GA,,,23579.0,
99,2006.0,13207.0,MONROE,5680.544412500038,GA,,,24924.0,
100,2006.0,13209.0,MONTGOMERY,342.36685799999964,GA,,,9165.0,
101,2006.0,13211.0,MORGAN,3131.2581864999906,GA,,,17316.0,
102,2006.0,13213.0,MURRAY,8772.052013225082,GA,,,40173.0,
103,2006.0,13217.0,MUSCOGEE,45567.906151354255,GA,,,,
104,2006.0,13217.0,NEWTON,15173.728528262664,GA,,,90647.0,
105,2006.0,13219.0,OCONEE,3201.630478000002,GA,,,29720.0,
106,2006.0,13221.0,OGLETHORPE,1241.7708745000004,GA,,,14030.0,
107,2006.0,13223.0,PAULDING,20442.622767501114,GA,18.0,,122635.0,0.00014677702124189668
108,2006.0,13225.0,PEACH,4040.089724087503,GA,,,25510.0,
109,2006.0,13227.0,PICKENS,9067.823479500104,GA,,,28169.0,
110,2006.0,13229.0,PIERCE,4953.368176500016,GA,,,17502.0,
111,2006.0,13231.0,PIKE,1817.8588875000016,GA,,,16590.0,
112,2006.0,13233.0,POLK,20132.681317313032,GA,,,40372.0,
113,2006.0,13235.0,PULASKI,3747.8455963625142,GA,,,11183.0,
114,2006.0,13237.0,PUTNAM,2980.116198,GA,,,20368.0,
115,2006.0,13241.0,RABUN,7310.533186500059,GA,,,16090.0,
116,2006.0,13243.0,RANDOLPH,575.9793554999998,GA,,,7786.0,
117,2006.0,13247.0,RICHMOND,44785.93756721473,GA,,,,
118,2006.0,13247.0,ROCKDALE,22055.746354000483,GA,10.0,,79911.0,0.0001251392173793345
119,2006.0,13249.0,SCHLEY,401.5822379999999,GA,,,4374.0,
120,2006.0,13251.0,SCREVEN,1694.0432344999988,GA,,,14884.0,
121,2006.0,13253.0,SEMINOLE,2312.492695500007,GA,,,8869.0,
122,2006.0,13255.0,SPALDING,19949.46353900044,GA,,,61971.0,
123,2006.0,13257.0,STEPHENS,17370.255829925343,GA,,,25488.0,
124,2006.0,13259.0,STEWART,539.8757249999989,GA,,,5627.0,
125,2006.0,13261.0,SUMTER,4216.2493844999735,GA,,,32785.0,
126,2006.0,13263.0,TALBOT,191.6218125000001,GA,,,6959.0,
127,2006.0,13267.0,TATTNALL,4909.166124000032,GA,,,23417.0,
128,2006.0,13269.0,TAYLOR,2412.810519000001,GA,,,8798.0,
129,2006.0,13271.0,TELFAIR,6328.326166162525,GA,,,15401.0,
130,2006.0,13273.0,TERRELL,678.5992500000003,GA,,,9969.0,
131,2006.0,13275.0,THOMAS,6593.51530800006,GA,,,43901.0,
132,2006.0,13277.0,TIFT,7871.740469175068,GA,,,39503.0,
133,2006.0,13279.0,TOOMBS,11944.56394822531,GA,,,26851.0,
134,2006.0,13281.0,TOWNS,2523.943090000001,GA,,,10281.0,
135,2006.0,13283.0,TREUTLEN,1490.9629725000018,GA,,,6771.0,
136,2006.0,13285.0,TROUP,11997.3438816129,GA,,,63897.0,
137,2006.0,13287.0,TURNER,1595.1928125000034,GA,,,9133.0,
138,2006.0,13289.0,TWIGGS,596.3669249999996,GA,,,9715.0,
139,2006.0,13291.0,UNION,5010.636570500016,GA,,,20460.0,
140,2006.0,13293.0,UPSON,7054.6980629500695,GA,,,27349.0,
141,2006.0,13295.0,WALKER,16033.424397500294,GA,,,66343.0,
142,2006.0,13297.0,WALTON,21429.86916372558,GA,,,77057.0,
143,2006.0,13299.0,WARE,18239.976692087886,GA,,,35624.0,
144,2006.0,13301.0,WARREN,232.86193499999987,GA,,,6038.0,
145,2006.0,13303.0,WASHINGTON,2976.0959729999804,GA,,,20805.0,
146,2006.0,13305.0,WAYNE,9923.32989772515,GA,,,28929.0,
147,2006.0,13309.0,WHEELER,1632.195840000001,GA,,,6954.0,
148,2006.0,13311.0,WHITE,5848.2401592250435,GA,,,25575.0,
149,2006.0,13313.0,WHITFIELD,21128.20291458822,GA,12.0,,96408.0,0.00012447099825740602
150,2006.0,13315.0,WILCOX,1379.9922869999991,GA,,,8868.0,
151,2006.0,13317.0,WILKES,2105.0528559999984,GA,,,10586.0,
152,2006.0,13319.0,WILKINSON,1582.327462499999,GA,,,9793.0,
153,2006.0,13321.0,WORTH,2490.989624225006,GA,,,21783.0,
154,2007.0,13001.0,APPLING,4277.968323587509,GA,,,17985.0,
155,2007.0,13003.0,ATKINSON,1788.9647190000035,GA,,,8346.0,
156,2007.0,13005.0,BACON,7998.44216300008,GA,,,10968.0,
157,2007.0,13009.0,BALDWIN,13630.32200385028,GA,,,47336.0,
158,2007.0,13011.0,BANKS,2930.5352475000154,GA,,,17550.0,
159,2007.0,13013.0,BARROW,22663.817929500485,GA,,,64760.0,
160,2007.0,13015.0,BARTOW,34525.260882213996,GA,,,95714.0,
161,2007.0,13017.0,BEN HILL,3955.060956999988,GA,,,17719.0,
162,2007.0,13019.0,BERRIEN,3943.5540013625055,GA,,,18255.0,
163,2007.0,13021.0,BIBB,92993.40865725632,GA,12.0,,154286.0,7.777763374512269e-05
164,2007.0,13023.0,BLECKLEY,5675.433510362529,GA,,,13016.0,
165,2007.0,13025.0,BRANTLEY,3927.29061600001,GA,,,17198.0,
166,2007.0,13027.0,BROOKS,4163.508432500008,GA,,,16333.0,
167,2007.0,13029.0,BRYAN,9806.650470000075,GA,,,28302.0,
168,2007.0,13031.0,BULLOCH,11395.139447587986,GA,,,65768.0,
169,2007.0,13033.0,BURKE,2717.9808300000022,GA,,,22972.0,
170,2007.0,13035.0,BUTTS,10718.171231862534,GA,,,23184.0,
171,2007.0,13037.0,CALHOUN,316.42664636249924,GA,,,6269.0,
172,2007.0,13039.0,CAMDEN,27123.02702272553,GA,,,48947.0,
173,2007.0,13043.0,CANDLER,2504.353288500001,GA,,,10586.0,
174,2007.0,13045.0,CARROLL,57215.12140897813,GA,22.0,,108947.0,0.00020193305001514497
175,2007.0,13047.0,CATOOSA,22704.15437086301,GA,,,62539.0,
176,2007.0,13049.0,CHARLTON,1929.433845975004,GA,,,12056.0,
177,2007.0,13051.0,CHATHAM,56542.0829022062,GA,26.0,,251981.0,0.00010318238279870307
178,2007.0,13055.0,CHATTOOGA,9709.294792725115,GA,,,26230.0,
179,2007.0,13057.0,CHEROKEE,49550.76567279109,GA,22.0,,202544.0,0.00010861837427916897
180,2007.0,13059.0,CLARKE,49638.03649982712,GA,,,113995.0,
181,2007.0,13061.0,CLAY,682.1294174999995,GA,,,3262.0,
182,2007.0,13063.0,CLAYTON,37904.796417164915,GA,19.0,,260441.0,7.295318325455669e-05
183,2007.0,13065.0,CLINCH,2768.7196459999964,GA,,,6838.0,
