GISJOIN,YEAR,AREANAME,STATE,STATEA,COUNTY,COUNTYA,DATAFLAG,NOTECODE,AGWD001
"G0100010","1991","Autauga, AL","Alabama","010","Autauga","0010","0","0",35010
"G0100030","1991","Baldwin, AL","Alabama","010","Baldwin","0030","0","0",102420
"G0100050","1991","Barbour, AL","Alabama","010","Barbour","0050","0","0",26506
"G0100070","1991","Bibb, AL","Alabama","010","Bibb","0070","0","0",17071
"G0100090","1991","Blount, AL","Alabama","010","Blount","0090","0","0",40190
"G0100110","1991","Bullock, AL","Alabama","010","Bullock","0110","0","0",11188
"G0100130","1991","Butler, AL","Alabama","010","Butler","0130","0","0",21755
"G0100150","1991","Calhoun, AL","Alabama","010","Calhoun","0150","0","0",115247
"G0100170","1991","Chambers, AL","Alabama","010","Chambers","0170","0","0",36913
"G0100190","1991","Cherokee, AL","Alabama","010","Cherokee","0190","0","0",19876
"G0100210","1991","Chilton, AL","Alabama","010","Chilton","0210","0","0",33200
"G0100230","1991","Choctaw, AL","Alabama","010","Choctaw","0230","0","0",16044
"G0100250","1991","Clarke, AL","Alabama","010","Clarke","0250","0","0",27391
"G0100270","1991","Clay, AL","Alabama","010","Clay","0270","0","0",13314
"G0100290","1991","Cleburne, AL","Alabama","010","Cleburne","0290","0","0",12684
"G0100310","1991","Coffee, AL","Alabama","010","Coffee","0310","0","0",40577
"G0100330","1991","Colbert, AL","Alabama","010","Colbert","0330","0","0",52557
"G0100350","1991","Conecuh, AL","Alabama","010","Conecuh","0350","0","0",14331
"G0100370","1991","Coosa, AL","Alabama","010","Coosa","0370","0","0",11170
"G0100390","1991","Covington, AL","Alabama","010","Covington","0390","0","0",36620
"G0100410","1991","Crenshaw, AL","Alabama","010","Crenshaw","0410","0","0",13552
"G0100430","1991","Cullman, AL","Alabama","010","Cullman","0430","0","0",68740
"G0100450","1991","Dale, AL","Alabama","010","Dale","0450","0","0",49835
"G0100470","1991","Dallas, AL","Alabama","010","Dallas","0470","0","0",47857
"G0100490","1991","DeKalb, AL","Alabama","010","DeKalb","0490","0","0",55909
"G0100510","1991","Elmore, AL","Alabama","010","Elmore","0510","0","0",50732
"G0100530","1991","Escambia, AL","Alabama","010","Escambia","0530","0","0",35786
"G0100550","1991","Etowah, AL","Alabama","010","Etowah","0550","0","0",100365
"G0100570","1991","Fayette, AL","Alabama","010","Fayette","0570","0","0",18168
"G0100590","1991","Franklin, AL","Alabama","010","Franklin","0590","0","0",28126
"G0100610","1991","Geneva, AL","Alabama","010","Geneva","0610","0","0",24183
"G0100630","1991","Greene, AL","Alabama","010","Greene","0630","0","0",10257
"G0100650","1991","Hale, AL","Alabama","010","Hale","0650","0","0",15736
"G0100670","1991","Henry, AL","Alabama","010","Henry","0670","0","0",15684
"G0100690","1991","Houston, AL","Alabama","010","Houston","0690","0","0",82640
